medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
050471,N,3,122,0.81,0.71,1.15,115.67,47,1.32,0.77,1.71,17823,2.13,1.48,1.12,1.9198261166,1.0627140945,1.44,1.88,1.26,0.25,0.22
050481,N,2,425,1.25,0.52,2.42,281.11,70,1.82,0.72,2.53,24713,3.07,1.24,1.6,2.6944809407,2.5845428161,2.49,2.76,1.04,0.31,0.19
050485,N,2,67,0.22,0.07,3.11,358.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6700266859,NA,NA,NA,NA,NA
050488,N,3,14,0.01,0.01,2.44,406.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2442525633,NA,NA,NA,NA,NA
050492,N,3,3671,12.18,6.57,1.85,207.49,419,9.49,4.1,2.32,24256,21.68,10.67,1.11,2.7125464134,2.0411394787,2.03,19,8.26,2.68,2.41
050496,N,5,636,3.5,0.86,4.06,521.11,54,3.13,0.87,3.59,43451,6.63,1.73,1.6,3.8510102469,4.4582341455,3.82,6.27,1.51,0.35,0.22
050498,N,4,546,2.04,0.51,4.02,504.21,15,0.54,0.18,3.02,27982,2.57,0.68,2.26,3.1446613559,4.4093316802,3.76,2.33,0.58,0.25,0.11
050502,N,4,195,0.86,0.6,1.44,150.22,19,0.52,0.39,1.31,16089,1.38,0.99,1.04,1.546341529,1.4622856947,1.39,1.15,0.77,0.22,0.22
050503,N,4,1231,2.97,0.94,3.17,371.43,178,3.93,1.48,2.66,25399,6.91,2.42,1.37,3.0793161893,3.5860856094,2.85,6.18,1.89,0.72,0.53
050506,N,4,2497,6.55,3.28,1.99,223.62,408,11.97,4.58,2.61,27664,18.51,7.86,1.14,2.8689532377,2.2123243924,2.35,16.96,6.5,1.56,1.36
050515,N,4,22,0.07,0.02,3.76,632.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9912416662,NA,NA,NA,NA,NA
050516,N,2,414,3.44,0.88,3.89,494.52,98,4.15,1.5,2.77,31246,7.6,2.39,1.59,3.0991842982,4.302626173,3.18,6.91,1.96,0.68,0.43
