medicare_provider_number,is_hospital_a_critical_access_hospital_y_n,hospital_compare_star_rating_october_na_not_available,number_of_outpatient_services,total_private_allowed_amount_for_outpatient_services_millions,simulated_medicare_allowed_amount_for_outpatient_services_millions,relative_price_for_outpatient_services,standardized_price_per_outpatient_service,number_of_inpatient_stays,total_private_allowed_amount_for_inpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_services_millions,relative_price_for_inpatient_services,standardized_price_per_inpatient_stay,total_private_allowed_amount_for_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_inpatient_and_outpatient_services_millions,relative_price_for_professional_inpatient_and_outpatient_services,relative_price_for_inpatient_facility_services,relative_price_for_outpatient_facility_services,relative_price_for_inpatient_and_outpatient_services,total_private_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_facility_inpatient_and_outpatient_services_millions,total_private_allowed_amount_for_professional_inpatient_and_outpatient_services_millions,simulated_medicare_allowed_amount_for_professional_inpatient_and_outpatient_services_millions
391312,Y,3,536,0.43,0.28,1.52,169.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5899907046,NA,NA,NA,NA,NA
391313,Y,3,464,0.63,0.38,1.67,166.67,15,0.14,0.14,1.03,7624,0.77,0.52,1.09,1.047858876,1.8210285034,1.5,0.66,0.41,0.11,0.11
391316,Y,4,90,0.17,0.07,2.27,216.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5293230897,NA,NA,NA,NA,NA
410001,N,NA,29372,19.18,16.8,1.14,117.51,1246,16.36,12.3,1.33,16326,35.54,29.1,1.5,1.1928885209,1.1478021037,1.22,28.54,24.43,7,4.67
410004,N,3,29798,34.08,28,1.22,123.03,3802,51.75,37.43,1.38,15524,85.83,65.43,1.85,1.2507115999,1.1687439409,1.31,67.88,55.74,17.95,9.69
410005,N,2,26546,26.06,20.09,1.3,131.28,2599,31.77,21.74,1.46,12925,57.83,41.83,1.85,1.3063533523,1.2880264391,1.38,45.92,35.38,11.91,6.45
410006,N,5,33191,31.85,18.74,1.7,171.97,2146,26.67,14.04,1.9,15980,58.53,32.78,2.22,1.7378613918,1.649004526,1.79,45.32,26.84,13.21,5.94
410007,N,2,155155,222.71,129.85,1.72,171.48,19266,396.64,224.01,1.77,21982,619.35,353.86,2.8,1.5718244321,1.6465241446,1.75,493.7,309.02,125.65,44.84
410008,N,5,48234,55.56,33.47,1.66,168.44,3308,58.76,19.51,3.01,27858,114.32,52.98,1.96,3.1918923653,1.6794152285,2.16,90.74,40.95,23.58,12.03
410009,N,2,72021,87.9,58.29,1.51,151.89,7475,136.81,60.55,2.26,22562,224.7,118.84,2.05,2.1811634065,1.4991498901,1.89,181.9,97.96,42.81,20.89
410010,N,3,66836,95.91,50.49,1.9,198.13,14902,190.73,266.1,0.72,27904,286.63,316.6,1.86,0.6381269781,1.9136266056,0.91,237.01,289.98,49.62,26.62
410011,N,3,38617,28.28,22.84,1.24,129.02,2400,29.05,19.08,1.52,14512,57.33,41.92,1.48,1.4355666568,1.261006249,1.37,46.61,34.65,10.72,7.26
410012,N,4,59009,95.65,53.21,1.8,180.51,7652,140.11,62.09,2.26,21839,235.76,115.3,2.52,2.1466827552,1.7268620367,2.04,190.39,97.27,45.37,18.03
410013,N,4,18668,21.69,13.19,1.64,165.04,617,7.41,4.25,1.74,14285,29.1,17.44,1.59,1.7472469868,1.6649048146,1.67,23.66,14.04,5.43,3.41
420002,N,1,133,0.41,0.1,4.15,411.24,35,0.74,0.29,2.51,17771,1.15,0.39,1.9,2.6886792984,4.8243007817,2.92,1.01,0.32,0.14,0.07
420004,N,2,148,0.44,0.12,3.56,340.75,88,3.5,1.44,2.43,26729,3.94,1.56,3.01,2.380002407,3.7430976879,2.52,3.53,1.43,0.41,0.14
420005,N,4,15,0.03,0.01,4.94,516.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8330163081,NA,NA,NA,NA,NA
420007,N,2,370,1.3,0.3,4.3,391.2,45,1.49,0.48,3.12,24786,2.79,0.78,1.6,3.4718317275,4.953244119,3.58,2.56,0.64,0.23,0.14
420010,N,2,547,1.5,0.33,4.5,406.07,28,0.56,0.22,2.56,19752,2.06,0.55,1.86,2.9045564782,5.1682605907,3.73,1.84,0.43,0.22,0.12
420011,N,3,12,0.02,0.01,4.24,444.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4108290464,NA,NA,NA,NA,NA
420015,N,2,49,0.06,0.02,3.41,332.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9257976427,NA,NA,NA,NA,NA
420018,N,2,180,0.53,0.16,3.34,265.5,24,1.61,0.4,4.04,40493,2.14,0.56,1.65,4.1885749036,3.695441404,3.84,2.05,0.51,0.08,0.05
420019,N,3,32,0.08,0.01,6.76,655.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4975096198,NA,NA,NA,NA,NA
420020,N,3,94,0.4,0.09,4.38,382.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1106548205,NA,NA,NA,NA,NA
420023,N,4,206,0.59,0.23,2.6,241.31,26,0.68,0.25,2.72,20889,1.27,0.48,1.36,3.0058160643,2.9636741112,2.66,1.14,0.38,0.13,0.1
420026,N,4,124,0.3,0.1,2.88,247.96,27,1.14,0.33,3.43,22245,1.43,0.43,1.65,3.6613034835,3.2238594361,3.3,1.33,0.37,0.1,0.06
420027,N,3,142,0.35,0.12,2.96,271.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4128208608,NA,NA,NA,NA,NA
420030,N,3,51,0.1,0.03,3.91,389.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7070686776,NA,NA,NA,NA,NA
420036,N,2,27,0.1,0.01,6.93,665.9,21,0.7,0.15,4.8,34168,0.8,0.16,1.25,5.3801286772,8.4030084718,4.99,0.77,0.14,0.03,0.02
420037,N,4,12,0.03,0.01,2.85,262.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2560375362,NA,NA,NA,NA,NA
420043,N,2,15,0.03,0.01,3.1,277.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5315085764,NA,NA,NA,NA,NA
420048,N,4,132,0.3,0.08,3.73,330.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3955976114,NA,NA,NA,NA,NA
420049,N,4,384,0.96,0.24,4.08,352.24,22,0.54,0.19,2.83,20146,1.5,0.43,1.5,3.1124523283,4.8212749587,3.52,1.38,0.34,0.13,0.08
420051,N,3,303,1.29,0.34,3.8,315.79,27,0.73,0.26,2.76,20390,2.01,0.6,1.47,3.0192573314,4.3758609864,3.34,1.85,0.49,0.16,0.11
420053,N,4,21,0.03,0.01,3.25,322.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9287068218,NA,NA,NA,NA,NA
420055,N,2,15,0.02,0.01,2.79,232.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.119629866,NA,NA,NA,NA,NA
420065,N,5,302,0.71,0.19,3.68,341.74,22,0.44,0.19,2.32,17521,1.14,0.38,1.71,2.6009375491,4.2070488514,3,1,0.3,0.15,0.09
420067,N,3,145,0.35,0.1,3.61,336.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1991803506,NA,NA,NA,NA,NA
420068,N,1,66,0.15,0.06,2.33,210.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5127704655,NA,NA,NA,NA,NA
420070,N,2,65,0.1,0.03,3.5,316.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1852671108,NA,NA,NA,NA,NA
420071,N,4,15,0.04,0.01,4.18,397.66,25,1.02,0.33,3.06,28004,1.05,0.34,1.32,3.1743974641,4.9921957448,3.09,1.02,0.32,0.03,0.02
420072,N,2,11,0.02,0.01,2.75,250.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3006672216,NA,NA,NA,NA,NA
420073,N,3,182,0.97,0.23,4.3,349.62,25,1.07,0.26,4.15,29861,2.04,0.48,2.17,4.6216278702,4.6831279606,4.22,1.86,0.4,0.18,0.08
420078,N,3,50,0.18,0.06,3.01,235.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1492313613,NA,NA,NA,NA,NA
420079,N,1,754,1.87,0.56,3.34,311.22,79,2.28,0.7,3.25,23226,4.15,1.26,1.54,3.6194282744,3.8633210746,3.29,3.77,1.01,0.38,0.25
420080,N,2,274,0.8,0.19,4.13,382.92,28,1.09,0.32,3.44,33329,1.89,0.51,1.86,3.5983366792,4.9035464566,3.7,1.74,0.43,0.15,0.08
420082,N,2,111,0.25,0.09,2.86,258.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3033666303,NA,NA,NA,NA,NA
420083,N,3,130,0.45,0.15,3.06,274.56,14,0.21,0.09,2.41,19353,0.66,0.23,1.65,2.7659231083,3.3897785522,2.82,0.57,0.18,0.08,0.05
420085,N,3,785,2.04,0.51,3.97,354.58,50,1.8,0.4,4.5,31845,3.84,0.91,1.75,5.0225299477,4.6330593303,4.2,3.52,0.73,0.32,0.18
420086,N,3,144,0.57,0.16,3.53,300.62,32,1.27,0.29,4.36,30155,1.84,0.45,1.55,4.754144904,3.9562277353,4.06,1.74,0.39,0.1,0.07
420087,N,5,393,1.04,0.31,3.31,295.63,19,0.64,0.23,2.82,18177,1.68,0.54,1.97,2.9590196114,3.6953785959,3.1,1.48,0.44,0.2,0.1
420089,N,4,145,1.17,0.33,3.5,310.11,27,0.61,0.2,3.01,23160,1.78,0.54,1.38,3.4272804988,3.9704718438,3.32,1.64,0.43,0.14,0.1
420091,N,2,160,0.57,0.18,3.2,256.99,14,0.32,0.13,2.39,19238,0.89,0.31,1.24,2.9530338768,3.507687228,2.85,0.81,0.25,0.08,0.07
420098,N,5,635,1.8,0.41,4.33,379.49,27,0.77,0.25,3.06,20960,2.56,0.66,1.55,3.4148986708,5.1760440868,3.85,2.34,0.52,0.22,0.14
420101,N,3,101,0.37,0.1,3.77,333.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4004222417,NA,NA,NA,NA,NA
420103,N,3,41,0.07,0.02,4.01,377.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6528082499,NA,NA,NA,NA,NA
420104,N,4,194,0.46,0.14,3.39,290.69,16,0.24,0.12,2.04,14312,0.71,0.26,1.99,2.1247273353,3.6936369757,2.76,0.61,0.21,0.1,0.05
420105,N,4,282,0.61,0.17,3.64,318.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1695541047,NA,NA,NA,NA,NA
420106,N,4,99,0.26,0.09,2.89,236.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.205572696,NA,NA,NA,NA,NA
430008,N,4,12,0.02,0,5.38,552.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2849179060000004,NA,NA,NA,NA,NA
430013,N,4,21,0.07,0.03,2.83,323.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4047609301,NA,NA,NA,NA,NA
430014,N,4,18,0.05,0.02,2.86,258.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8233150339,NA,NA,NA,NA,NA
430016,N,3,303,0.86,0.36,2.41,236.48,37,0.64,0.32,2.03,16179,1.5,0.67,1.67,2.0912527532,2.6174584633,2.23,1.29,0.55,0.2,0.12
430027,N,4,411,1.14,0.5,2.29,214.41,39,0.91,0.44,2.08,19205,2.04,0.93,1.87,2.1524787082,2.3614494029,2.19,1.74,0.77,0.31,0.16
430048,N,4,51,0.12,0.03,4.04,415.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5085015187,NA,NA,NA,NA,NA
430077,N,3,167,0.61,0.2,3.06,307.46,36,1.23,0.46,2.67,27752,1.83,0.66,2.21,2.7355979353,3.2563447237,2.79,1.64,0.57,0.2,0.09
430082,N,NA,20,0.01,0,2.05,293.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2980632349,NA,NA,NA,NA,NA
430090,N,5,47,0.26,0.14,1.89,188.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9547181074,NA,NA,NA,NA,NA
430091,N,NA,19,0.12,0.06,1.87,169.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8658326211,NA,NA,NA,NA,NA
430093,N,NA,12,0.08,0.05,1.51,135.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4071789193,NA,NA,NA,NA,NA
430097,N,5,11,0.02,0.01,2.29,216.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2667549906,NA,NA,NA,NA,NA
431320,Y,NA,20,0.03,0.02,1.58,297.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4610721113,NA,NA,NA,NA,NA
431321,Y,4,16,0.02,0.01,2.34,358.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2750378305,NA,NA,NA,NA,NA
431322,Y,NA,30,0.03,0.01,1.8,375.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7345967331,NA,NA,NA,NA,NA
431323,Y,NA,53,0.08,0.04,2.06,551.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9688027202,NA,NA,NA,NA,NA
431336,Y,NA,21,0.03,0.01,2.49,351.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4985380306,NA,NA,NA,NA,NA
440001,N,3,91,0.12,0.03,4.79,458.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4888663622,NA,NA,NA,NA,NA
440002,N,1,4355,10.38,5.59,1.86,151.82,765,12.92,6.24,2.07,23476,23.3,11.83,1.63,2.2494109375,1.8526335476,1.97,19.38,9.42,3.92,2.41
440003,N,2,722,1.53,0.61,2.5,221.88,60,1.15,0.42,2.71,21003,2.68,1.04,1.87,2.9246774542,2.6291111535,2.59,2.31,0.84,0.37,0.2
440006,N,2,1904,4.17,1.73,2.41,204.14,425,9.83,3.34,2.94,22827,14.01,5.08,1.47,3.2797069065,2.5431997661,2.76,12.71,4.19,1.3,0.88
440007,N,4,147,0.1,0.08,1.23,106.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2127037602,NA,NA,NA,NA,NA
440008,N,3,401,0.63,0.19,3.25,331.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0500260868,NA,NA,NA,NA,NA
440009,N,3,1463,1.84,0.97,1.89,162.18,81,0.9,0.48,1.88,16046,2.74,1.45,1.46,2.0738939865,1.9811305065,1.89,2.26,1.12,0.47,0.32
440010,N,3,172,0.25,0.06,4.04,408.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1463886242,NA,NA,NA,NA,NA
440011,N,2,1388,1.79,0.99,1.82,150.98,130,1.06,0.78,1.37,9428,2.85,1.76,1.5,1.3795690509,1.8789976439,1.62,2.32,1.41,0.53,0.35
440012,N,1,893,1.72,0.75,2.3,190.98,160,2.58,1.02,2.53,19877,4.3,1.77,1.57,2.8369403849,2.4730641225,2.44,3.68,1.37,0.62,0.4
440015,N,2,7795,11.92,8.24,1.45,112.06,845,12.93,7.38,1.75,18648,24.85,15.62,1.38,1.8766032229,1.4290480285,1.59,20.76,12.65,4.09,2.97
440016,N,4,402,0.4,0.14,2.9,288.92,19,0.21,0.08,2.5,15256,0.61,0.22,1.79,2.5971976539,3.4353439534,2.75,0.51,0.17,0.1,0.05
440017,N,2,516,1.17,0.47,2.48,200.91,85,1.64,0.73,2.24,15279,2.81,1.2,1.78,2.3682146966,2.597439296,2.33,2.43,0.99,0.38,0.21
440018,N,3,194,0.45,0.12,3.7,314.32,18,0.25,0.12,2.04,13906,0.7,0.25,2.38,2.2457129311,3.9471904165,2.86,0.56,0.18,0.15,0.06
440020,N,4,506,1.39,0.31,4.53,462.83,24,0.16,0.13,1.25,9347,1.55,0.44,1.56,1.2658840979,5.67491108,3.56,1.38,0.33,0.17,0.11
440025,N,2,926,1.66,0.69,2.4,237.13,50,0.71,0.29,2.48,18158,2.38,0.98,1.69,2.6196267203,2.5476340323,2.42,2.09,0.81,0.28,0.17
440029,N,5,1338,2.59,1.43,1.81,162.95,237,3.57,1.41,2.52,19246,6.15,2.85,1.66,2.777070168,1.8432652842,2.16,5.09,2.21,1.06,0.64
440030,N,2,833,1.06,0.72,1.48,119.55,69,0.7,0.36,1.94,14020,1.76,1.08,1.58,2.0552479842,1.4521432525,1.63,1.38,0.83,0.39,0.25
440031,N,2,1162,0.94,0.52,1.81,155.25,54,0.58,0.29,1.98,13882,1.51,0.81,1.81,2.0204640639,1.8166415563,1.87,1.16,0.61,0.36,0.2
440032,N,3,166,0.25,0.08,3.08,265.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4930006721,NA,NA,NA,NA,NA
440033,N,2,347,0.5,0.17,2.91,273.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.3583704163,NA,NA,NA,NA,NA
440034,N,1,2749,3.23,2.01,1.6,127.73,266,4.27,1.97,2.16,19333,7.5,3.99,1.54,2.4270985637,1.5737970192,1.88,6.06,3.05,1.44,0.93
440035,N,2,530,0.96,0.46,2.09,190.68,99,1.2,0.77,1.55,11486,2.16,1.23,1.72,1.5804703983,2.0662411972,1.75,1.74,0.99,0.42,0.24
440039,N,3,12488,32.65,15.3,2.13,195,1973,68.01,28.55,2.38,32195,100.66,43.85,2.1,2.4427537347,2.0927515745,2.3,87.74,37.69,12.92,6.16
440040,N,3,316,0.23,0.09,2.58,221.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0261888926,NA,NA,NA,NA,NA
440046,N,3,1629,3.7,1.23,3.02,277.05,131,2.52,0.74,3.42,26001,6.22,1.96,2.03,3.8323883613,3.2838003219,3.17,5.33,1.52,0.89,0.44
440048,N,1,710,1.41,0.69,2.05,180.31,99,2.26,1.38,1.64,14060,3.67,2.07,1.58,1.6685297153,2.1394324413,1.78,3.21,1.78,0.46,0.29
440049,N,2,11502,19.18,8.46,2.27,200.12,2238,50.22,22.12,2.27,31470,69.41,30.58,1.52,2.458481304,2.396854858,2.27,60.66,24.84,8.75,5.74
440050,N,2,131,0.21,0.11,1.84,163.88,13,0.13,0.09,1.46,11919,0.33,0.2,1.39,1.6189318566,1.8819551933,1.68,0.27,0.15,0.07,0.05
440051,N,NA,37,0.06,0.02,3.06,262.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4943680278,NA,NA,NA,NA,NA
440053,N,1,983,2.6,1.02,2.54,229.75,294,3.6,2.07,1.74,13570,6.2,3.09,1.71,1.8273591086,2.6022455004,2,5.25,2.54,0.94,0.55
440056,N,3,436,0.83,0.25,3.31,277.85,16,0.14,0.08,1.75,10038,0.97,0.33,2.4,1.7306072213,3.5895689565,2.94,0.81,0.26,0.17,0.07
440057,N,2,206,0.14,0.08,1.79,149.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79303894,NA,NA,NA,NA,NA
440058,N,3,619,1.98,0.47,4.23,370.36,71,1.45,0.63,2.32,28604,3.44,1.1,1.33,2.7853122142,5.0272907682,3.14,3.07,0.82,0.37,0.28
440059,N,4,2393,4.33,2.39,1.82,159.39,233,3.53,1.73,2.04,15860,7.86,4.12,1.27,2.253694404,1.9369618485,1.91,6.8,3.28,1.06,0.84
440060,N,4,421,0.86,0.29,3,258.04,35,0.28,0.19,1.45,9003,1.14,0.48,1.47,1.5154620046,3.3937104402,2.38,1.01,0.39,0.13,0.09
440061,N,4,73,0.11,0.04,2.49,211.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4830528401,NA,NA,NA,NA,NA
440063,N,1,1247,2.64,1.01,2.63,213.76,310,5.05,2.83,1.78,13477,7.69,3.84,1.57,1.8644899072,2.7757167731,2.01,6.74,3.23,0.95,0.61
440065,N,1,2254,4.01,1.63,2.46,216.96,70,0.74,0.42,1.76,15040,4.75,2.05,1.93,1.7514871831,2.5908827356,2.31,3.91,1.62,0.84,0.43
440067,N,3,123,0.21,0.11,1.81,154.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9427026285,NA,NA,NA,NA,NA
440068,N,2,1007,2.69,0.53,5.08,471.65,26,0.2,0.16,1.3,9577,2.89,0.68,1.95,1.290608163,6.1989058008,4.22,2.56,0.52,0.32,0.17
440072,N,1,28,0.07,0.02,2.91,272.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1258817278,NA,NA,NA,NA,NA
440073,N,3,2555,4.81,2.61,1.84,162.98,281,4.36,1.72,2.54,22449,9.17,4.33,1.35,3.012445162,1.9511544971,2.12,7.8,3.31,1.38,1.02
440081,N,2,752,0.74,0.43,1.74,140.2,50,0.5,0.3,1.7,13670,1.25,0.72,1.55,1.8650405169,1.7291570952,1.72,0.96,0.54,0.29,0.18
440082,N,4,1046,3.81,2.2,1.73,146.26,274,8.75,2.94,2.98,24381,12.55,5.14,1.29,3.3612422046,1.803000633,2.44,11.39,4.24,1.17,0.9
440083,N,4,119,0.34,0.06,5.62,559.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2076800879,NA,NA,NA,NA,NA
440084,N,3,640,1.37,0.26,5.32,493.77,14,0.23,0.07,3.44,24534,1.6,0.32,1.24,3.9826175336,6.8665621743,4.93,1.5,0.24,0.1,0.08
440091,N,4,729,1.5,0.65,2.32,203.6,115,2.26,0.83,2.73,18763,3.77,1.48,1.93,2.8991841044,2.3718306205,2.55,3.27,1.22,0.5,0.26
440102,N,4,77,0.08,0.03,2.6,229.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0999518837,NA,NA,NA,NA,NA
440104,N,2,2667,5.08,3.4,1.49,131.12,471,8.04,4.16,1.93,21619,13.12,7.56,1.35,2.0864897331,1.5067309782,1.73,11.11,6.07,2.01,1.49
440109,N,3,801,1.26,0.47,2.66,249.76,23,0.22,0.11,1.99,17767,1.48,0.59,1.58,2.4510274635,3.0450021054,2.53,1.21,0.41,0.28,0.18
440110,N,3,515,0.45,0.29,1.57,129.8,23,0.21,0.11,1.89,12222,0.66,0.4,1.65,1.9549354152,1.5440139526,1.66,0.5,0.3,0.16,0.1
440111,N,2,103,0.09,0.06,1.52,143.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5931033131,NA,NA,NA,NA,NA
440120,N,2,1803,4.53,2.1,2.16,174.74,287,4.51,1.88,2.4,17068,9.04,3.98,1.94,2.4958191903,2.2259019754,2.27,7.44,3.15,1.6,0.83
440125,N,2,3023,4.28,2.93,1.46,114.07,524,8.22,3.58,2.29,19375,12.5,6.51,1.58,2.5328393458,1.4067136043,1.92,10.18,5.05,2.32,1.46
440130,N,2,1287,1.76,0.71,2.48,216.27,61,0.78,0.36,2.17,16599,2.55,1.07,1.58,2.4650076799,2.7478287105,2.38,2.12,0.8,0.43,0.27
440131,N,3,904,1.11,0.4,2.74,282.86,24,0.22,0.22,1.03,13364,1.33,0.62,1.61,1.0174359224,3.2786447735,2.15,1.08,0.46,0.26,0.16
440132,N,3,1595,2.82,1.37,2.06,176.55,94,0.75,0.53,1.4,10274,3.56,1.9,1.48,1.4488074168,2.2010963336,1.88,2.91,1.46,0.65,0.44
440133,N,3,1112,3.2,1.56,2.05,185.86,435,10.57,4.6,2.3,23058,13.77,6.16,1.36,2.5871252557,2.0805331514,2.24,12.06,4.9,1.71,1.26
440137,N,3,179,0.32,0.14,2.36,200.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4348981641,NA,NA,NA,NA,NA
440144,N,3,425,1.25,0.39,3.2,288.76,31,1.04,0.27,3.92,44398,2.29,0.66,1.5,4.5656945676,3.6736895029,3.49,2.08,0.51,0.21,0.14
440148,N,4,86,0.15,0.06,2.49,204.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.625814707,NA,NA,NA,NA,NA
440150,N,2,484,1.22,0.51,2.38,211.08,85,2.23,0.72,3.1,21051,3.44,1.23,1.84,3.3779410185,2.4372435768,2.8,3.05,1.02,0.39,0.21
440151,N,3,151,0.34,0.1,3.38,324.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9699375797,NA,NA,NA,NA,NA
440152,N,1,490,0.74,0.3,2.46,226.02,106,2.54,1.64,1.55,30856,3.28,1.95,1.55,1.5401221956,2.7723003107,1.69,2.9,1.7,0.38,0.25
440153,N,3,154,0.31,0.09,3.37,311.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9013978852,NA,NA,NA,NA,NA
440156,N,3,991,2.12,1.15,1.85,159.43,194,3.13,1.48,2.12,17693,5.25,2.62,1.55,2.2559987913,1.8895220404,2,4.53,2.16,0.72,0.46
440159,N,NA,36,0.03,0.01,1.97,193.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.204174178,NA,NA,NA,NA,NA
440161,N,4,11178,26.53,12.93,2.05,180.53,2269,52.56,16.97,3.1,27901,79.09,29.9,1.49,3.6161299284,2.1382262671,2.65,69.38,23.38,9.71,6.52
440173,N,2,3702,6.82,4.87,1.4,110.74,876,11.74,5.94,1.98,16918,18.55,10.81,1.37,2.229032262,1.3632347396,1.72,15.01,8.23,3.54,2.59
440175,N,4,17,0.06,0.01,6.13,582.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.3011346584,NA,NA,NA,NA,NA
440176,N,4,125,0.32,0.1,3.34,287.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7541368684,NA,NA,NA,NA,NA
440180,N,3,745,0.4,0.26,1.56,125.8,23,0.12,0.12,1.02,6438,0.52,0.37,1.36,1.0197824258,1.5955844027,1.39,0.43,0.31,0.09,0.07
440182,N,NA,506,0.58,0.19,2.98,280.42,25,0.29,0.13,2.23,17932,0.87,0.32,1.35,2.5510008327,3.7696034209,2.68,0.74,0.23,0.13,0.1
440183,N,3,618,1.39,0.59,2.36,213.37,145,3.28,1.25,2.63,23595,4.68,1.84,1.41,3.0479000311,2.5098573655,2.54,4.08,1.42,0.6,0.42
440184,N,4,348,0.8,0.26,3.04,254.7,58,0.66,0.35,1.9,14222,1.46,0.61,1.79,2.0352849463,3.3287130616,2.39,1.2,0.47,0.26,0.14
440185,N,1,893,1.96,0.82,2.39,203.85,117,1.69,0.86,1.96,15269,3.65,1.68,1.5,2.125590126,2.5709144104,2.17,3.14,1.34,0.51,0.34
440187,N,4,201,0.65,0.16,4.04,384.67,17,0.08,0.09,0.92,7391,0.73,0.25,1.33,0.9050209991,4.7778283426,2.92,0.65,0.19,0.08,0.06
440189,N,NA,19,0.02,0.01,2.25,198.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4212754414,NA,NA,NA,NA,NA
440192,N,3,125,0.6,0.16,3.81,362.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4588307658,NA,NA,NA,NA,NA
440193,N,2,87,0.2,0.11,1.89,173.93,11,0.15,0.09,1.66,12459,0.35,0.2,1.59,1.7311292139,1.9378574681,1.79,0.29,0.16,0.06,0.04
440194,N,3,2254,4.79,2.08,2.3,201.74,242,4.36,1.38,3.16,25360,9.16,3.47,1.87,3.6220362923,2.3742478046,2.64,7.74,2.7,1.42,0.76
440197,N,2,137,0.54,0.2,2.67,263.06,34,2.07,0.73,2.85,20394,2.61,0.93,1.69,3.1756406797,2.9431614001,2.81,2.26,0.72,0.35,0.21
440200,N,4,33,0.06,0.02,3.88,359.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.4149876202,NA,NA,NA,NA,NA
440218,N,NA,146,2.47,1.28,1.93,188.85,62,2.96,1.58,1.88,13258,5.44,2.86,1.39,2.0629301503,2.0738244542,1.9,4.47,2.16,0.97,0.69
440227,N,2,313,1,0.41,2.46,218.79,18,0.45,0.16,2.82,19108,1.45,0.56,1.9,3.004641914,2.6004021779,2.56,1.24,0.46,0.21,0.11
